text,category,urgency,template_group_id
Found student umbrella near the main entrance turnstiles after morning rain causing inconvenience to students and staff.,Other,Low,T_OTH_012
Academic advisor has not responded to elective course approval request for two weeks affecting people in the area.,Academic,Medium,T_ACD_013
Rotting fruit left uncollected beneath trees in front garden creating stench.,Cleanliness,Low,T_CLN_019
CCTV security camera covering the female dormitory entrance has been damaged.,Safety,High,T_SAF_012
Pigeon droppings accumulated across windowsills and desks in Block C which is affecting normal activities.,Cleanliness,Low,T_CLN_003
Hot water heater system in student residential hostel is completely cold several people have pointed this out.,Plumbing,Low,T_PLM_006
No teaching assistant has been assigned to support weekly programming tutorial batches observed during the morning class.,Academic,Low,T_ACD_011
Metal lockers in the sports pavilion have jammed rusted padlocks.,Facilities,Low,T_FAC_011
Stairwell landings in Science Block floor 3 are covered in mud and litter affecting people in the area.,Cleanliness,Low,T_CLN_007
Found unclaimed dark winter jacket draped over seat 14 in Auditorium A which is affecting normal activities.,Other,Low,T_OTH_008
Unidentified person without visitor badge wandering inside student dormitories affecting people in the area.,Safety,High,T_SAF_014
Stray kittens found sheltered inside the outdoor electrical equipment shed noticed by several students.,Other,Medium,T_OTH_014
Accessible disabled parking spaces near reception are routinely blocked by unauthorized cars.,Transport,Medium,T_TRN_015
Flush cistern mechanism in girls restroom floor 1 running continuously which is affecting normal activities.,Plumbing,Low,T_PLM_007
Cockroaches and insects observed crawling inside hostel food preparation area.,Cleanliness,High,T_CLN_009
Automatic sliding glass door at the main entrance is stuck half-open noticed by several students.,Maintenance,Medium,T_MNT_013
The main entry door of the Chemistry department is jammed shut.,Maintenance,Medium,T_MNT_009
Shower floor drain in hostel room 304 has been blocked with pooling stagnant water.,Plumbing,Medium,T_PLM_010
Smartboard in Room 402 is unresponsive to touch input and digital pen.,IT,Medium,T_IT_007
Application status for official transcript issuance has been stuck on pending for weeks.,Administration,Medium,T_ADM_004
Shuttle bus headlamp is dead on the driver side during night service.,Transport,High,T_TRN_016
UPS battery storage cabinet in server room has been emitting high-pitched warning sirens.,Electrical,High,T_ELC_007
Campus e-learning portal crashed right during the online assignment submission window which is affecting normal activities.,IT,High,T_IT_008
Overhead water pipe dripping directly above computer server racks reported earlier today.,Plumbing,Critical,T_PLM_013
Waste bins near Block A entrance are overflowing with rotting food scraps.,Cleanliness,Low,T_CLN_002
Window pane in Block C second floor corridor is cracked and loose.,Maintenance,Medium,T_MNT_002
Squash court door glass panel is loose and vibrating on impact.,Facilities,Medium,T_FAC_020
Inquiry regarding procedure for campus locker deposit return.,Other,Low,T_OTH_016
Immigration visa renewal documents not processed before expiry date noticed by several students.,Administration,High,T_ADM_020
Exhaust fan electrical cabling short-circuited inside cafeteria kitchen noticed by several students.,Electrical,High,T_ELC_012
Campus swimming pool water is murky green and smells heavily foul.,Facilities,High,T_FAC_010
Water pressure in dormitory showers dropped to a trickle.,Plumbing,Low,T_PLM_020
Zero water pressure discharging from faucets in chemical engineering lab.,Plumbing,Medium,T_PLM_004
General inquiry regarding the working hours of the campus lost and found repository observed during the morning class.,Other,Low,T_OTH_010
The desktop computer in Room 108 will not power on at all.,IT,Low,T_IT_011
Janitorial equipment and dirty wash bucket left obstructing corridor doorway.,Cleanliness,Low,T_CLN_015
Submitting final assignments on the portal produces an internal server 500 error.,IT,High,T_IT_017
Construction debris with exposed sharp rusty nails left open along walkway.,Safety,High,T_SAF_016
Outdoor transformer unit in courtyard making loud buzzing humming sound.,Electrical,High,T_ELC_019
Outdoor basketball court floodlights fail to ignite after sunset reported earlier today.,Facilities,Low,T_FAC_013
Pungent gas leak smell detected near the chemical storage depot.,Safety,Critical,T_SAF_010
Central heating in dormitory blocks during cold weather has been non-functional.,Facilities,High,T_FAC_019
The campus wireless signal is completely dead in the science building basement.,IT,Medium,T_IT_013
Emergency exit door in Block C has been padlocked shut preventing evacuation.,Safety,Critical,T_SAF_003
My learning portal has been not displaying registered subjects and exam starts tomorrow morning.,Academic,High,T_ACD_001
No Objection Certificate document for mandatory internship visa has been pending approval for weeks.,Administration,Medium,T_ADM_007
Wall socket switch plate has been cracked in dormitory room 112.,Electrical,Low,T_ELC_020
Window pane in Block C second floor corridor is cracked and loose which is affecting normal activities.,Maintenance,Medium,T_MNT_002
Bus automated pneumatic door jammed shut trapping passenger backpack which is affecting normal activities.,Transport,High,T_TRN_012
Cannot access the university online research database from off-campus VPN affecting people in the area.,IT,Medium,T_IT_010
Smartboard in Room 402 has been unresponsive to touch input and digital pen.,IT,Medium,T_IT_007
Recorded lecture video links on the portal are broken and return 404.,Academic,Low,T_ACD_016
Ceiling panel near the faculty lounge is sagging heavily and about to fall several people have pointed this out.,Maintenance,High,T_MNT_005
Emergency evacuation lighting units failed to activate during power cut.,Electrical,High,T_ELC_011
Switchboard faceplate in chemistry laboratory has been scorched and warm to the touch.,Electrical,High,T_ELC_008
Outdoor seating benches in the courtyard have broken wooden slats since yesterday morning.,Maintenance,Low,T_MNT_016
Stray kittens found sheltered inside the outdoor electrical equipment shed.,Other,Medium,T_OTH_014
Cockroaches and insects observed crawling inside hostel food preparation area noticed by several students.,Cleanliness,High,T_CLN_009
Cannot access the university online research database from off-campus VPN.,IT,Medium,T_IT_010
Fee breakdown receipt statement omits laboratory fee component.,Administration,Low,T_ADM_017
Bus automated pneumatic door jammed shut trapping passenger backpack.,Transport,High,T_TRN_012
Disciplinary review notification was issued with mismatched student registration number for the past two days.,Administration,Medium,T_ADM_006
The projector in Lecture Hall A is flickering and won't display slides clearly observed during the morning class.,IT,Low,T_IT_003
Pedestrian pathway behind the sports arena has no functioning street lighting at night.,Safety,High,T_SAF_005
HDMI cable attached to the teaching podium in Room 210 is torn affecting people in the area.,IT,Low,T_IT_018
Switchboard faceplate in chemistry laboratory is scorched and warm to the touch.,Electrical,High,T_ELC_008
Smartboard in Room 402 is unresponsive to touch input and digital pen since yesterday morning.,IT,Medium,T_IT_007
Found a bunch of keys with a blue lanyard on the wooden bench outside cafeteria.,Other,Low,T_OTH_002
Sink tap in faculty kitchenette has been dripping constantly and won't turn off.,Plumbing,Low,T_PLM_016
Students are unable to log into the portal from the Library terminals for the past two days.,IT,Medium,T_IT_002
Hostel security caution deposit refund has not been released post-checkout.,Administration,Medium,T_ADM_015
Lost prescription eyewear inside a black protective case near Block A stairwell.,Other,Low,T_OTH_007
Air conditioning in Lecture Hall 2 stopped working and the room is overheating this has been ongoing since last week.,Maintenance,Medium,T_MNT_003
Fire extinguisher in the Chemistry lab has been missing from its designated wall mount.,Safety,High,T_SAF_002
Common room furniture upholstery has been shredded and dirty.,Facilities,Low,T_FAC_016
Gymnasium pulley cable snapped during a workout posing severe hazard several people have pointed this out.,Facilities,High,T_FAC_005
Ethernet network port in faculty office 215 is physically loose and broken for the past two days.,IT,Low,T_IT_012
Spelling error in student name printed on degree certificate verification draft this has been ongoing since last week.,Academic,High,T_ACD_019
Urinal auto-flush sensor defective resulting in stagnant waste.,Plumbing,Medium,T_PLM_018
The desktop computer in Room 108 will not power on at all this has been ongoing since last week.,IT,Low,T_IT_011
All computers in Lab 204 are frozen and displaying a blue screen crash error.,IT,High,T_IT_004
Gutter downspout cracked and pouring rainwater against laboratory foundation.,Plumbing,Medium,T_PLM_017
Fire extinguisher in the Chemistry lab is missing from its designated wall mount.,Safety,High,T_SAF_002
Student ID card scanner at the main library turnstile is failing to read cards causing inconvenience to students and staff.,IT,High,T_IT_015
Course syllabus and reference material for Data Structures have not been uploaded this has been ongoing since last week.,Academic,Low,T_ACD_003
An injured campus cat near the staff car park requires immediate veterinary care.,Other,Medium,T_OTH_004
Hazardous chemical spill of unidentified liquid reported in Chemistry Lab 3.,Safety,Critical,T_SAF_006
Aggressive stray dog entered the campus perimeter near the sports ground.,Safety,Medium,T_SAF_004
No teaching assistant has been assigned to support weekly programming tutorial batches.,Academic,Low,T_ACD_011
Assignment submission deadline was abruptly changed without email notification observed during the morning class.,Academic,Medium,T_ACD_020
Sanitary vending machine in female facility is empty and jammed since yesterday morning.,Facilities,Medium,T_FAC_014
Smoke detector in dormitory Room 201 has been tampered with and covered.,Safety,High,T_SAF_018
Urinal drains in ground floor male restroom blocked and emitting stench.,Cleanliness,High,T_CLN_020
Toilet bowl in male restroom Room 102 is clogged and overflowing onto floor observed during the morning class.,Plumbing,High,T_PLM_003
Application status for official transcript issuance has been stuck on pending for weeks for the past two days.,Administration,Medium,T_ADM_004
Water filter indicator lamp on drinking fountain turns red indicating dirty water observed during the morning class.,Facilities,High,T_FAC_015
Black mildew patches spreading across shower stalls in dorm building 2 which is affecting normal activities.,Cleanliness,Medium,T_CLN_013
Outdoor landscape watering valve stuck wide open wasting water.,Plumbing,Medium,T_PLM_014
Construction debris with exposed sharp rusty nails left open along walkway since yesterday morning.,Safety,High,T_SAF_016
Requesting information on guest parking passes for visiting family members.,Other,Low,T_OTH_013
Ceiling panel near the faculty lounge has been sagging heavily and about to fall.,Maintenance,High,T_MNT_005
Traffic bottleneck at main campus gate due to malfunctioning automated boom barrier.,Transport,Medium,T_TRN_010
Faculty feedback evaluation form link has been throwing a session timeout error.,Academic,Medium,T_ACD_008
Commercial advertising posters pasted across notice boards without permission several people have pointed this out.,Other,Low,T_OTH_017
Electrical wall receptacle in Room 104 sparked and produced smoke when plugging in charger for the past two days.,Electrical,High,T_ELC_003
Air conditioning inside university commuter bus 5 has been defective.,Transport,Low,T_TRN_003
Assignment submission deadline was abruptly changed without email notification.,Academic,Medium,T_ACD_020
Bus shelter canopy has been leaking water heavily during rainy weather.,Transport,Low,T_TRN_007
Fire extinguisher in the Chemistry lab is missing from its designated wall mount affecting people in the area.,Safety,High,T_SAF_002
Excessively loud amplified music played late at night from adjacent hostel wing causing inconvenience to students and staff.,Other,Low,T_OTH_009
Smoke detector in dormitory Room 201 has been tampered with and covered causing inconvenience to students and staff.,Safety,High,T_SAF_018
Door handle of the rest room on the 3rd floor came off completely reported earlier today.,Maintenance,Low,T_MNT_015
My learning portal is not displaying registered subjects and exam starts tomorrow morning causing inconvenience to students and staff.,Academic,High,T_ACD_001
Hostel security caution deposit refund has not been released post-checkout several people have pointed this out.,Administration,Medium,T_ADM_015
Corridor motion sensors for automatic lights are defective.,Electrical,Low,T_ELC_018
Exhaust ventilation fan in the workshop is screeching loudly observed during the morning class.,Maintenance,Medium,T_MNT_012
Accessible disabled parking spaces near reception are routinely blocked by unauthorized cars for the past two days.,Transport,Medium,T_TRN_015
Laboratory manual for Microprocessors contains outdated and conflicting circuit diagrams noticed by several students.,Academic,Low,T_ACD_007
Recommended textbooks for Engineering Physics are out of stock in the campus library reported earlier today.,Academic,Low,T_ACD_006
Only one cashier counter is operating at student finance resulting in massive queues causing inconvenience to students and staff.,Administration,Low,T_ADM_002
Immigration visa renewal documents not processed before expiry date.,Administration,High,T_ADM_020
Whiteboard in Room 205 detached from the wall bracket for the past two days.,Maintenance,Low,T_MNT_008
Microwave oven in the cafeteria dining area has been sparking inside.,Facilities,High,T_FAC_012
University general inquiry telephone lines are permanently engaged without voicemail.,Administration,Low,T_ADM_013
Noisy structural drilling outside library during mid-semester examination hours for the past two days.,Other,Medium,T_OTH_005
Hazardous chemical spill of unidentified liquid reported in Chemistry Lab 3 which is affecting normal activities.,Safety,Critical,T_SAF_006
Complete water supply disruption in washrooms of Block B second floor.,Facilities,High,T_FAC_001
Vending machine in Block A swallowed card payment without dispensing item which is affecting normal activities.,Facilities,Low,T_FAC_008
Water is leaking from ceiling tiles near cafeteria and floor is slippery which is affecting normal activities.,Plumbing,High,T_PLM_001
Stagnant rainwater puddle in hostel courtyard breeding mosquitoes which is affecting normal activities.,Cleanliness,High,T_CLN_012
Heavy duty extension cord in seminar auditorium has frayed burnt rubber insulation several people have pointed this out.,Electrical,High,T_ELC_013
Financial hold on portal preventing exam hall ticket download after paying dues noticed by several students.,Administration,High,T_ADM_018
Fluorescent ceiling tubes in Room 302 are flickering violently causing headaches.,Electrical,Low,T_ELC_002
Noisy structural drilling outside library during mid-semester examination hours.,Other,Medium,T_OTH_005
Outdoor lamppost base near library pathway has exposed energized wires since yesterday morning.,Electrical,Critical,T_ELC_006
Bicycle lane along the campus perimeter is blocked by maintenance machinery noticed by several students.,Transport,Low,T_TRN_017
Student ID card scanner at the main library turnstile is failing to read cards.,IT,High,T_IT_015
Tuition fee refund request for duplicate transaction is delayed over four weeks which is affecting normal activities.,Administration,Medium,T_ADM_001
Shattered glass shards scattered across the main walkway near the cafeteria causing inconvenience to students and staff.,Safety,Medium,T_SAF_015
Hand wash liquid soap dispensers in central restrooms are all empty.,Cleanliness,Medium,T_CLN_018
Bus shelter canopy is leaking water heavily during rainy weather.,Transport,Low,T_TRN_007
Study cubicles in the library have defective desks and dead electrical sockets this has been ongoing since last week.,Facilities,Low,T_FAC_002
Drinking water dispenser on 3rd floor is dispensing unchilled warm water.,Facilities,Low,T_FAC_003
Air conditioning in Lecture Hall 2 stopped working and the room is overheating.,Maintenance,Medium,T_MNT_003
Emergency exit door in Block C is padlocked shut preventing evacuation.,Safety,Critical,T_SAF_003
Corridor wall plaster in Block A is peeling and dropping debris on the floor causing inconvenience to students and staff.,Maintenance,Low,T_MNT_014
Parking payment kiosk took cash note but did not dispense an exit validation ticket several people have pointed this out.,Transport,Low,T_TRN_013
The projector in Lecture Hall A has been flickering and won't display slides clearly.,IT,Low,T_IT_003
Carpet in the seminar room has a persistent damp musty smell.,Cleanliness,Low,T_CLN_016
Washroom floor is flooded with contaminated water and slippery soap lather causing inconvenience to students and staff.,Cleanliness,High,T_CLN_008
UPS battery storage cabinet in server room is emitting high-pitched warning sirens since yesterday morning.,Electrical,High,T_ELC_007
Instructor was absent without notice for the scheduled 9 AM mathematics lecture.,Academic,Medium,T_ACD_004
Balcony protective railing on 4th floor Block C has been structurally compromised.,Safety,Critical,T_SAF_020
Final exam hall seating arrangement list shows conflicting room numbers for students.,Academic,High,T_ACD_012
Wall socket switch plate is cracked in dormitory room 112 causing inconvenience to students and staff.,Electrical,Low,T_ELC_020
Senior thesis advisor allocations have still not been published which is affecting normal activities.,Academic,Low,T_ACD_015
Complete water supply disruption in washrooms of Block B second floor since yesterday morning.,Facilities,High,T_FAC_001
Internet speed in the male dormitory has been sluggish since yesterday.,IT,Low,T_IT_005
Ceiling fan in Room 205 has been wobbling dangerously and making grinding metallic sounds.,Electrical,Medium,T_ELC_005
Heavy main entrance gate hinges are squeaking and sticking.,Maintenance,Low,T_MNT_020
Floor tiles in the central corridor are cracked creating an uneven surface reported earlier today.,Maintenance,Medium,T_MNT_011
Student ID card scanner at the main library turnstile has been failing to read cards.,IT,High,T_IT_015
Water filter indicator lamp on drinking fountain turns red indicating dirty water.,Facilities,High,T_FAC_015
Only one cashier counter is operating at student finance resulting in massive queues.,Administration,Low,T_ADM_002
Traffic bottleneck at main campus gate due to malfunctioning automated boom barrier causing inconvenience to students and staff.,Transport,Medium,T_TRN_010
Emergency stop panic button inside the central elevator does not trigger.,Safety,Critical,T_SAF_019
Main electrical distribution panel in basement is producing visible arcing sparks which is affecting normal activities.,Electrical,Critical,T_ELC_010
Emergency stop panic button inside the central elevator does not trigger observed during the morning class.,Safety,Critical,T_SAF_019
Microwave oven in the cafeteria dining area is sparking inside.,Facilities,High,T_FAC_012
Drinking water dispenser on 3rd floor is dispensing unchilled warm water this has been ongoing since last week.,Facilities,Low,T_FAC_003
Bare live electrical wires exposed on the hallway wall near Room 105 this has been ongoing since last week.,Safety,Critical,T_SAF_008
Rotting fruit left uncollected beneath trees in front garden creating stench since yesterday morning.,Cleanliness,Low,T_CLN_019
Metal shutter of the cafeteria supply room is off its alignment track since yesterday morning.,Maintenance,Medium,T_MNT_017
Large tree branch fractured and hanging precariously over student walkway for the past two days.,Safety,High,T_SAF_017
Campus shuttle bus route 2 arrived 45 minutes late during morning pickup.,Transport,Medium,T_TRN_001
Bicycle lane along the campus perimeter is blocked by maintenance machinery.,Transport,Low,T_TRN_017
Metal shutter of the cafeteria supply room has been off its alignment track.,Maintenance,Medium,T_MNT_017
Medical clinic biohazard waste container left unsealed in common reception reported earlier today.,Cleanliness,High,T_CLN_010
Bare live electrical wires exposed on the hallway wall near Room 105.,Safety,Critical,T_SAF_008
Senior thesis advisor allocations have still not been published.,Academic,Low,T_ACD_015
Student identity card counter remains shut during official advertised office hours reported earlier today.,Administration,Low,T_ADM_003
Insufficient seating on morning shuttle forcing students to stand in the aisle.,Transport,Medium,T_TRN_004
Metal lockers in the sports pavilion have jammed rusted padlocks which is affecting normal activities.,Facilities,Low,T_FAC_011
Electric water geyser in sports locker room blew its internal fuse.,Electrical,Medium,T_ELC_017
Recycling receptacles in Computer Lab 1 have not been emptied for days.,Cleanliness,Low,T_CLN_011
Reading desk overhead lamps in library quiet zone have burned out.,Facilities,Low,T_FAC_009
Emergency evacuation lighting units failed to activate during power cut noticed by several students.,Electrical,High,T_ELC_011
Electrical wall receptacle in Room 104 sparked and produced smoke when plugging in charger.,Electrical,High,T_ELC_003
Security guard post at the East Gate was left completely unmanned overnight since yesterday morning.,Safety,Medium,T_SAF_009
General inquiry regarding the working hours of the campus lost and found repository.,Other,Low,T_OTH_010
University general inquiry telephone lines are permanently engaged without voicemail reported earlier today.,Administration,Low,T_ADM_013
Washroom supply pipe in Block A 2nd floor ruptured spraying pressurized water.,Plumbing,High,T_PLM_002
Late payment penalty fee levied despite proof of payment before deadline date causing inconvenience to students and staff.,Administration,High,T_ADM_011
Oil slick on the workshop floor caused a student to slip and fall heavily observed during the morning class.,Safety,High,T_SAF_011
Toilet bowl in male restroom Room 102 is clogged and overflowing onto floor.,Plumbing,High,T_PLM_003
Found unclaimed dark winter jacket draped over seat 14 in Auditorium A.,Other,Low,T_OTH_008
Squash court door glass panel is loose and vibrating on impact observed during the morning class.,Facilities,Medium,T_FAC_020
Main circuit breaker tripped in Physics Lab 2 shutting off delicate lab sensors.,Electrical,Medium,T_ELC_004
Air conditioning outdoor compressor cable caught fire outside Block D which is affecting normal activities.,Electrical,Critical,T_ELC_014
Black mildew patches spreading across shower stalls in dorm building 2.,Cleanliness,Medium,T_CLN_013
Indoor sports court synthetic flooring has torn seams creating trip hazards which is affecting normal activities.,Facilities,Medium,T_FAC_006
Student cafeteria indoor dining hall is poorly ventilated and stifling hot affecting people in the area.,Facilities,Low,T_FAC_004
Hand wash liquid soap dispensers in central restrooms have been all empty.,Cleanliness,Medium,T_CLN_018
Stench of rotting garbage emanating from dumpsters behind the student canteen.,Cleanliness,Medium,T_CLN_006
Emergency exit door in Block C is padlocked shut preventing evacuation observed during the morning class.,Safety,Critical,T_SAF_003
Academic advisor has not responded to elective course approval request for two weeks.,Academic,Medium,T_ACD_013
An injured campus cat near the staff car park requires immediate veterinary care since yesterday morning.,Other,Medium,T_OTH_004
Washroom floor has been flooded with contaminated water and slippery soap lather.,Cleanliness,High,T_CLN_008
Restroom near the main cafeteria has not been cleaned since yesterday morning.,Cleanliness,Medium,T_CLN_001
Lost scientific calculator left on desk 12 in the engineering design room several people have pointed this out.,Other,Low,T_OTH_011
Exhaust fan electrical cabling short-circuited inside cafeteria kitchen.,Electrical,High,T_ELC_012
Financial hold on portal preventing exam hall ticket download after paying dues.,Administration,High,T_ADM_018
